,kospi200,call,put,aggregate,real_vkospi,put_call_ratio,call_put_average_real
2024-07-30,374.87,12.81,15.91,20.44,17.78,1.184,1.0227272727272727
2024-07-29,378.73,12.96,15.44,20.16,17.51,0.605,0.9213483146067415
2024-07-26,374.2,13.54,15.76,20.79,17.98,0.856,0.9277777777777777
2024-07-25,371.26,13.38,17.12,21.74,18.77,1.576,1.1162790697674418
2024-07-24,378.66,13.15,15.21,20.12,17.42,0.967,0.9940119760479044
2024-07-23,381.65,12.22,16.06,20.2,17.47,0.836,0.9028571428571429
2024-07-22,379.84,13.91,16.0,21.22,18.39,1.054,1.0342857142857145
2024-07-19,383.89,12.91,15.07,19.85,17.27,1.247,0.9817073170731709
2024-07-18,389.0,12.34,14.74,19.23,16.79,1.273,0.8816568047337279
2024-07-17,391.55,12.18,14.46,18.91,16.53,1.121,1.0064516129032257
2024-07-16,395.31,12.46,13.83,18.62,16.34,0.775,0.91875
2024-07-15,393.84,12.94,13.48,18.71,16.47,0.991,1.0933333333333333
2024-07-12,392.29,11.56,14.27,18.39,16.44,1.154,1.0394736842105263
2024-07-11,398.52,11.27,13.87,17.9,16.12,0.723,0.9056603773584906
2024-07-10,395.6,11.25,13.32,17.45,16.08,0.697,1.060344827586207
2024-07-09,395.79,11.44,13.65,17.82,16.28,0.803,0.8951048951048951
2024-07-08,394.47,12.62,13.56,18.53,16.81,0.582,0.9197530864197532
2024-07-05,395.47,12.12,14.15,18.64,16.72,0.474,0.9874213836477986
2024-07-04,388.53,12.12,13.64,18.25,16.36,0.455,1.101910828025478
2024-07-03,383.23,10.99,13.32,17.32,15.55,0.818,0.8979591836734694
2024-07-02,381.2,11.71,13.4,17.8,15.88,0.963,0.9403973509933775
2024-07-01,384.34,12.04,13.47,18.07,16.05,0.805,0.9038461538461539
2024-06-28,384.02,11.83,13.9,18.26,16.1,0.797,0.8838709677419354
2024-06-27,382.27,12.3,14.21,18.8,16.57,0.916,0.7976878612716763
2024-06-26,383.01,12.88,14.04,19.06,16.74,0.786,0.9559748427672955
2024-06-25,379.85,12.73,14.55,19.33,16.98,0.833,0.9811320754716981
2024-06-24,378.39,13.57,13.82,19.39,17.02,1.033,1.0318471337579618
2024-06-21,380.88,12.45,13.96,18.74,16.52,1.113,1.0604026845637584
2024-06-20,384.78,12.51,14.0,18.78,16.56,0.72,0.9746835443037974
2024-06-19,383.01,12.84,13.23,18.46,16.33,0.661,1.033112582781457
2024-06-18,377.73,12.11,13.87,18.41,16.34,0.786,0.9371069182389937
2024-06-17,373.86,11.56,14.82,18.83,16.71,1.183,0.9625
2024-06-14,376.0,11.6,13.5,17.8,16.03,0.818,0.875
2024-06-13,374.75,12.06,13.77,18.31,16.52,0.644,0.9430379746835443
2024-06-12,371.12,11.95,14.73,18.99,17.4,0.591,1.150943396226415
2024-06-11,367.71,13.01,13.51,18.77,17.16,0.819,1.2542372881355932
2024-06-10,367.46,12.85,13.84,18.9,17.17,0.862,1.0785340314136125
2024-06-07,371.39,11.8,14.19,18.48,16.64,0.63,1.0481927710843373
2024-06-05,366.44,11.6,14.36,18.48,16.56,0.594,0.937142857142857
2024-06-04,362.52,12.52,13.76,18.61,16.64,1.111,1.0372670807453415
2024-06-03,365.48,12.78,13.67,18.74,16.69,0.667,1.0
2024-05-31,358.21,12.18,14.68,19.07,16.9,1.047,1.1946308724832215
2024-05-30,358.7,12.19,14.54,18.98,16.82,1.387,1.0886075949367087
2024-05-29,364.96,11.74,13.11,17.63,15.66,1.141,1.089655172413793
2024-05-28,371.33,10.94,12.94,16.95,15.07,0.9,1.0138888888888888
2024-05-27,371.16,10.72,13.35,17.13,15.21,0.719,0.9527027027027026
2024-05-24,366.08,10.65,13.7,17.38,15.43,1.084,0.9133333333333333
2024-05-23,371.62,11.39,12.72,17.08,15.22,0.677,1.0
2024-05-22,371.41,11.73,13.21,17.67,15.71,0.783,1.0486111111111112
2024-05-21,371.55,11.93,13.18,17.79,15.85,0.974,1.0704225352112675
2024-05-20,373.68,11.38,13.78,17.88,15.95,0.68,0.9602649006622517
2024-05-17,370.58,10.84,13.98,17.71,15.98,0.89,0.9473684210526316
2024-05-16,374.6,11.81,13.08,17.64,15.98,0.71,1.0
2024-05-14,371.04,11.37,14.26,18.26,16.73,0.873,0.9259259259259259
2024-05-13,370.99,11.229106821986734,14.305943902128043,18.205194561439846,16.6,0.887,0.9018404907975459
2024-05-10,371.08,11.686758938358901,13.871402939759703,18.13832842042453,16.29,0.726,0.967948717948718
2024-05-09,368.83,12.389701981720766,13.724025468997686,18.498591912011136,16.49,1.159,1.0394736842105263
2024-05-08,374.09,12.15,14.04,18.57,16.46,0.662,0.8985507246376812
2024-05-07,372.8,13.28,14.32,19.55,17.21,0.59,0.7714285714285715
2024-05-03,363.58,12.99,15.28,20.07,17.51,0.847,0.9294871794871795
2024-05-02,364.31,13.51,15.53,20.59,17.88,0.878,0.9451219512195123
2024-04-30,365.13,13.37,16.14,20.98,18.14,0.768,1.0496894409937887
2024-04-29,364.48,13.66,15.92,20.99,18.13,0.662,0.8659217877094972
2024-04-26,361.02,13.56,16.42,21.3,18.32,0.632,0.8563535911602209
2024-04-25,356.51,14.34,16.53,21.89,18.82,0.992,1.0416666666666665
2024-04-24,363.6,13.38,16.11,20.95,18.02,0.578,0.848314606741573
2024-04-23,355.98,14.05,16.93,22.0,18.93,0.857,1.0406976744186045
2024-04-22,356.89,14.64,17.73,23.0,19.8,1.018,0.9531250000000001
2024-04-19,352.58,15.59,18.95,24.55,21.22,1.918,0.9095238095238096
2024-04-18,359.06,14.13,17.28,22.33,19.42,0.724,0.8917525773195877
2024-04-17,352.79,14.93,17.44,22.98,20.02,1.089,0.9585492227979274
2024-04-16,356.67,14.52,17.54,22.78,19.95,1.467,0.9141414141414141
2024-04-15,365.31,13.94,15.65,20.99,18.45,1.003,0.9497206703910616
2024-04-12,367.25,13.12,14.67,19.69,17.59,1.023,0.9529411764705882
2024-04-11,370.72,12.39,15.79,20.11,18.03,0.681,0.9257142857142857
2024-04-09,370.27,12.4,15.51,19.87,18.09,1.07,1.005780346820809
2024-04-08,372.51,12.48,15.7,20.08,18.16,0.868,0.9772727272727272
2024-04-05,371.57,13.45,15.18,20.28,18.12,1.115,0.9132947976878613
2024-04-04,375.61,12.75,14.46,19.3,17.2,0.617,0.9753086419753088
2024-04-03,369.72,12.83,15.11,19.85,17.63,1.237,1.08641975308642
2024-04-02,376.34,13.04,14.19,19.28,17.1,0.717,0.877906976744186
2024-04-01,374.28,13.63,13.69,19.34,17.13,0.703,0.9756097560975611
2024-03-29,374.63,13.4,13.66,19.15,16.84,0.639,0.925
2024-03-28,373.22,12.96,14.2,19.23,16.88,0.686,0.9254658385093167
2024-03-27,374.08,13.19,14.42,19.55,17.14,0.816,1.019108280254777
2024-03-26,374.6,13.67,14.32,19.81,17.34,0.602,0.8941176470588235
2024-03-25,370.73,13.06,14.9,19.82,17.35,0.827,0.940828402366864
2024-03-22,372.65,13.56,14.02,19.52,17.13,0.577,0.8135593220338984
2024-03-21,373.66,14.08,14.11,19.95,17.53,0.423,0.9011627906976745
2024-03-20,363.32,13.28,13.81,19.17,16.92,0.519,0.9096385542168673
2024-03-19,357.33,13.06,13.74,18.96,16.78,0.85,0.9197530864197532
2024-03-18,361.31,13.07,14.16,19.28,17.12,0.788,0.9107142857142857
2024-03-15,359.39,11.69,14.64,18.76,16.83,1.125,0.9090909090909091
2024-03-14,366.68,12.68,13.17,18.29,16.51,0.51,0.8333333333333333
2024-03-13,363.04,12.44,13.57,18.41,16.93,0.74,1.015267175572519
2024-03-12,361.11,13.73,13.91,19.56,17.8,0.693,1.111111111111111
2024-03-11,358.34,13.74,14.49,19.98,18.05,0.983,1.0685714285714285
2024-03-08,361.71,13.78,13.43,19.26,17.25,0.573,1.0389610389610389
2024-03-07,356.82,13.44,13.83,19.31,17.25,0.773,0.9695121951219513
2024-03-06,356.25,13.41,13.99,19.38,17.25,0.793,0.9939393939393939
2024-03-05,357.59,12.84,14.36,19.26,17.13,0.885,0.9289940828402368
2024-03-04,361.1,13.59,14.09,19.59,17.33,0.564,0.9534883720930232
2024-02-29,355.57,12.96,13.99,19.08,16.77,1.049,0.9316770186335402
2024-02-28,356.79,12.41,14.62,19.19,16.83,0.757,0.9559748427672955
2024-02-27,352.76,14.54,13.36,19.81,17.16,0.939,0.891566265060241
2024-02-26,355.48,13.21,15.65,20.5,17.94,0.848,0.8882681564245811
2024-02-23,358.57,14.29,15.27,20.94,18.31,0.595,0.9709302325581395
2024-02-22,357.67,14.71,14.7,20.8,18.22,0.834,0.9265536723163842
2024-02-21,356.04,14.54,15.19,21.05,18.5,0.886,0.8864864864864864
2024-02-20,356.92,13.69,15.28,20.53,18.09,0.973,0.8579234972677595
2024-02-19,360.88,14.01,14.84,20.43,18.02,0.555,0.9034090909090908
2024-02-16,355.52,13.55,13.95,19.46,17.41,0.693,0.8947368421052632
2024-02-15,351.21,12.9,15.02,19.8,17.79,0.925,0.9644970414201185
2024-02-14,352.69,13.25,14.83,19.89,17.98,0.811,0.8415300546448087
2024-02-13,357.38,,,,18.02,0.666,0.8618784530386739
2024-02-08,353.29,13.265816944960507,14.195621102845909,19.442188178985475,17.24,0.755,0.7840909090909091
2024-02-07,352.25,13.62,14.72,20.05,17.62,0.527,0.9367816091954024
2024-02-06,347.8,13.81,14.62,20.11,17.59,0.861,0.9569892473118279
2024-02-05,349.15,13.59,15.78,20.84,18.06,0.889,0.9134615384615384
2024-02-02,353.43,13.47,15.41,20.49,17.79,0.351,0.9175824175824175
2024-02-01,342.41,12.37,14.78,19.29,16.79,0.665,0.7391304347826088
2024-01-31,336.24,12.35,15.16,19.57,17.02,0.982,0.9529411764705882
2024-01-30,337.48,13.57,14.26,19.71,17.11,0.789,1.005988023952096
2024-01-29,337.84,12.84,15.21,19.93,17.27,0.602,1.0357142857142856
2024-01-26,334.21,12.73,14.96,19.65,16.96,0.835,0.9337349397590361
2024-01-25,333.8,12.63,14.97,19.6,16.92,0.886,0.9814814814814815
2024-01-24,333.27,12.5,15.32,19.79,17.07,1.044,1.0
